id,unit,time,treat,treatq,treatd,valueFOC2,valueMOC2,valueTOC2,valuefratioOC2,valueFOC9,valueMOC9,valueTOC9,valuefratioOC9
1,Austria,213,0,0,0,42.2,45.4,44.1,48.173515,39.9,40.8,40.4,49.442379
1,Austria,214,0,0,0,42.1,45.3,44,48.169338,40.7,40.8,40.8,49.938652
1,Austria,215,0,0,0,42.2,45.2,43.9,48.283752,40.1,40.7,40.5,49.628712
1,Austria,216,0,0,0,42.4,45.4,44.1,48.291573,39.8,40.8,40.4,49.379654
1,Austria,217,0,0,0,42.2,45.2,43.9,48.283752,39.8,41,40.5,49.257427
1,Austria,218,0,0,0,42.1,45.3,44,48.169338,39.7,40.5,40.2,49.501247
1,Austria,219,0,0,0,42.2,45.3,44,48.228573,39.6,40.5,40.2,49.438202
1,Austria,220,0,0,0,42.4,44.7,43.8,48.67968,39.7,40.6,40.3,49.439602
1,Austria,221,0,0,0,42.1,44.7,43.6,48.502304,39.5,40.5,40.1,49.375
1,Austria,222,0,0,0,42,44.3,43.3,48.667439,39.8,40.7,40.4,49.440994
1,Austria,223,0,0,0,42.2,44.7,43.6,48.561565,39.7,40.9,40.4,49.255585
1,Austria,224,0,0,0,42.1,45.2,43.9,48.224514,39.6,40.9,40.3,49.192547
1,Austria,225,0,0,0,42.3,44.7,43.7,48.620689,39.5,41.2,40.5,48.946716
1,Austria,226,0,0,0,42.1,44.6,43.5,48.558247,39.4,41.1,40.4,48.944099
1,Austria,227,0,0,0,42.2,44.5,43.5,48.673588,39.4,40.5,40,49.311638
1,Austria,228,0,0,0,41.9,44.5,43.4,48.495369,39.6,40,39.8,49.748745
1,Austria,229,0,0,0,42.2,44,43.2,48.955917,39.6,40.2,40,49.624062
1,Austria,230,1,1,0,41.4,44.3,43.1,48.308052,39.6,40.3,40,49.561951
1,Austria,231,1,1,0,41.8,44.6,43.4,48.379631,39.4,40.2,39.9,49.497486
1,Austria,232,1,1,0,41.5,44.6,43.2,48.199768,39.6,40.2,39.9,49.624062
1,Austria,233,1,1,0,41.4,44.2,42.9,48.364487,39.4,40.7,40.2,49.188515
1,Austria,234,1,1,0,41.7,44.1,43,48.601398,39.6,40.7,40.3,49.315067
1,Austria,235,1,1,0,41.8,43.8,42.9,48.831776,39.2,40.5,40,49.184441
1,Austria,236,1,1,0,41.3,44.4,43,48.191364,39.3,40.3,39.9,49.371861
1,Austria,237,1,1,0,41.7,43.8,42.8,48.771931,39.1,40.1,39.8,49.368687
1,Austria,238,1,1,0,41.5,43.6,42.7,48.766159,39.2,40.3,39.8,49.308178
2,Belgium,172,0,0,0,35.9,40.9,38.6,46.744793,37.7,38.6,38.4,49.410221
2,Belgium,173,0,0,0,37.2,41.9,39.6,47.029076,38.5,39,38.8,49.677418
2,Belgium,174,0,0,0,36.7,41.3,39,47.051281,37.4,38.5,38.2,49.275364
2,Belgium,175,0,0,0,37.2,41.5,39.4,47.268108,37.5,38.6,38.2,49.277267
2,Belgium,176,0,0,0,36.7,41.2,39.1,47.111683,37.7,39,38.6,49.152542
2,Belgium,177,0,0,0,36.4,40.9,38.7,47.089264,38,38.6,38.4,49.608356
2,Belgium,178,0,0,0,37.1,41.6,39.5,47.141041,38.1,38.8,38.6,49.544865
2,Belgium,179,0,0,0,37.1,42,39.6,46.902657,38.2,38.9,38.7,49.546043
2,Belgium,180,0,0,0,37.1,41.6,39.5,47.141041,37.6,38.7,38.4,49.27916
2,Belgium,181,0,0,0,36.9,41.6,39.3,47.006371,37.7,38.5,38.2,49.475067
2,Belgium,182,0,0,0,37,41.9,39.6,46.894802,37.7,39,38.6,49.152542
2,Belgium,183,0,0,0,36.5,41.3,39,46.915169,38.3,39,38.8,49.547218
2,Belgium,184,0,0,0,37.6,41,39.4,47.837151,37.9,39.1,38.7,49.220779
2,Belgium,185,0,0,0,36.7,41,38.8,47.232948,37.6,38.7,38.4,49.27916
2,Belgium,186,0,0,0,36.4,40.8,38.7,47.150261,37.6,38.9,38.5,49.150326
2,Belgium,187,0,0,0,36.6,41.7,39.2,46.743294,38,39,38.7,49.350651
2,Belgium,188,0,0,0,37.2,41.8,39.6,47.088608,39.2,39.1,39.1,50.063858
2,Belgium,189,0,0,0,37.7,41.7,39.7,47.48111,38,38.7,38.5,49.543678
2,Belgium,190,0,0,0,37,41.3,39.3,47.25415,38.1,39.1,38.8,49.352333
2,Belgium,191,0,0,0,37.5,42.4,40,46.933666,37.6,38.9,38.5,49.150326
2,Belgium,192,0,0,0,37.7,41.7,39.7,47.48111,37.6,39.1,38.6,49.022163
2,Belgium,193,0,0,0,37.4,40.5,38.9,48.010269,37.8,39,38.6,49.21875
2,Belgium,194,0,0,0,37.3,41,39.3,47.637291,37.2,38.5,38.1,49.141346
2,Belgium,195,0,0,0,37.2,41.1,39.2,47.509579,37.7,39.4,38.8,48.897537
2,Belgium,196,0,0,0,37.3,41,39.2,47.637291,38.1,38.5,38.4,49.738903
2,Belgium,197,0,0,0,38,41.1,39.6,48.040455,38.4,39.5,39.2,49.293968
2,Belgium,198,0,0,0,38,41.6,39.9,47.738693,38.4,38.8,38.7,49.740932
2,Belgium,199,0,0,0,38.4,42.1,40.4,47.701862,38.6,39,38.9,49.742268
2,Belgium,200,0,0,0,37.6,41.2,39.5,47.715736,38.4,39,38.8,49.612404
2,Belgium,201,0,0,0,37.8,41,39.5,47.969543,38.3,39.2,38.9,49.419353
2,Belgium,202,0,0,0,37.2,42.5,39.9,46.67503,37.7,38.9,38.5,49.216709
2,Belgium,203,0,0,0,38.3,41.8,40,47.815231,38.5,38.9,38.7,49.741604
2,Belgium,204,0,0,0,37.8,42.4,40.1,47.132168,37.8,39,38.5,49.21875
2,Belgium,205,0,0,0,38.4,42.6,40.6,47.407406,38.5,39.5,39,49.358974
2,Belgium,206,1,1,0,37.5,42.4,40.1,46.933666,38.6,38.9,38.8,49.80645
2,Belgium,207,1,1,0,37.9,42.8,40.5,46.964066,38.3,39.2,38.8,49.419353
2,Belgium,208,1,1,0,39.1,43.8,41.8,47.16526,38.4,38.9,38.7,49.676586
2,Belgium,209,1,1,0,37.4,42.2,39.9,46.984924,38.7,39.6,39.2,49.425289
2,Belgium,210,1,1,0,37.5,42.2,40,47.051441,38.8,39.2,39,49.743591
2,Belgium,211,1,1,0,38.3,42.3,40.4,47.518612,37.6,39.2,38.5,48.958332
2,Belgium,212,1,1,0,37.9,42.7,40.4,47.022331,38.7,39.4,39.1,49.551857
2,Belgium,213,1,1,0,38.3,42.7,40.7,47.283951,38.7,39.5,39.2,49.488491
2,Belgium,214,1,1,0,38.2,42.6,40.5,47.277229,39.2,39.2,39.2,50
2,Belgium,215,1,1,0,38.4,42.5,40.5,47.466007,38.5,39,38.8,49.677418
2,Belgium,216,1,1,0,38.4,42.2,40.4,47.642681,38.1,38.7,38.4,49.609375
2,Belgium,217,1,1,0,38,42,40.2,47.5,37.8,39.9,39,48.648647
2,Belgium,218,1,1,0,38,42.2,40.1,47.381546,37.7,38.9,38.4,49.216709
2,Belgium,219,1,1,0,39.1,41.9,40.6,48.271606,39.2,39.3,39.2,49.936306
2,Belgium,220,1,1,0,38.7,42.3,40.5,47.777779,37.8,39.6,38.9,48.837208
2,Belgium,221,1,1,0,38.6,42.6,40.6,47.536945,38.7,38.8,38.8,49.935482
2,Belgium,222,1,1,0,38.9,42,40.5,48.084053,37.4,39.2,38.5,48.825066
2,Belgium,223,1,1,0,38.6,42.3,40.5,47.713226,38.3,39.1,38.7,49.483204
2,Belgium,224,1,1,0,38.6,42.4,40.5,47.65432,38.3,38.9,38.6,49.611401
2,Belgium,225,1,1,0,39.2,42.2,40.7,48.157249,37.6,39.3,38.7,48.894669
2,Belgium,226,1,1,0,38.1,42.3,40.2,47.388062,38.3,39.4,39,49.292149
2,Belgium,227,1,1,0,38.6,42,40.4,47.89082,39.2,38.9,39,50.192062
2,Belgium,228,1,1,0,38.9,41.8,40.4,48.20322,36.6,39.3,38.3,48.221344
2,Belgium,229,1,1,0,38.8,43.2,41.1,47.317074,37.1,38.5,38,49.074074
2,Belgium,230,1,1,0,37.9,43.1,40.6,46.790123,36.5,38.9,37.9,48.408489
2,Belgium,231,1,1,0,38.5,42.1,40.4,47.76675,36.7,38.7,37.9,48.67374
2,Belgium,232,1,1,0,38.5,42,40.3,47.826088,37.5,38.7,38.2,49.212597
2,Belgium,233,1,1,0,38.7,42,40.5,47.955391,37.2,38.8,38.2,48.947369
2,Belgium,234,1,1,0,38.8,42.4,40.7,47.783253,36.9,38.6,37.9,48.874172
2,Belgium,235,1,1,0,38.7,42.4,40.6,47.718864,36.2,38,37.3,48.787064
2,Belgium,236,1,1,0,39.9,42.2,41.1,48.59927,36.8,38.3,37.7,49.001331
2,Belgium,237,1,1,0,38.7,41.8,40.3,48.074535,37.2,38.7,38.1,49.011856
2,Belgium,238,1,1,0,38.8,42.1,40.5,47.960445,36.1,39.1,37.9,48.005318
3,Bulgaria,172,0,0,0,39.7,40.2,39.8,49.687107,40.4,41.5,41.1,49.328449
3,Bulgaria,173,0,0,0,39.8,40.1,39.9,49.812263,40.7,41.4,41.1,49.573692
3,Bulgaria,174,0,0,0,39.8,40.2,39.9,49.75,40.8,41.5,41.2,49.574726
3,Bulgaria,175,0,0,0,39.8,40.4,40,49.625935,40.7,41.8,41.3,49.333332
3,Bulgaria,176,0,0,0,39.7,40.2,39.9,49.687107,40.6,41.4,41.1,49.512196
3,Bulgaria,177,0,0,0,39.8,40.5,40,49.564133,41.2,42.2,41.8,49.400478
3,Bulgaria,178,0,0,0,39.9,40.3,40,49.750622,41,42.3,41.7,49.219688
3,Bulgaria,179,0,0,0,39.9,40.4,40.1,49.688667,40.2,41.4,40.9,49.264706
3,Bulgaria,180,0,0,0,39.6,40.4,39.9,49.5,40.2,41.7,41.1,49.084248
3,Bulgaria,181,0,0,0,39.8,40.4,40,49.625935,40.7,41.4,41.1,49.573692
3,Bulgaria,182,0,0,0,40,40.3,40.1,49.813202,40.7,41.3,41.1,49.634148
3,Bulgaria,183,0,0,0,39.8,40.6,40.1,49.502487,40.2,41.3,40.9,49.325153
3,Bulgaria,184,0,0,0,39.9,40.4,40.1,49.688667,40.5,41.7,41.2,49.270073
3,Bulgaria,185,0,0,0,40,40.4,40.1,49.751244,40.8,41.9,41.4,49.334946
3,Bulgaria,186,0,0,0,39.9,40.4,40.1,49.688667,41.1,42.3,41.8,49.280575
3,Bulgaria,187,0,0,0,40,40.6,40.2,49.627792,41.1,42,41.6,49.458485
3,Bulgaria,188,0,0,0,39.9,40.8,40.2,49.442379,41,42.2,41.7,49.278847
3,Bulgaria,189,0,0,0,40,40.7,40.2,49.566296,40.9,42.2,41.6,49.217812
3,Bulgaria,190,0,0,0,40.1,40.7,40.3,49.628712,41.5,42.1,41.8,49.641148
3,Bulgaria,191,0,0,0,40.1,40.7,40.3,49.628712,41.4,42.1,41.8,49.580837
3,Bulgaria,192,0,0,0,40,40.8,40.2,49.504951,41.1,42.3,41.8,49.280575
3,Bulgaria,193,0,0,0,40.1,40.8,40.3,49.567368,41.3,42.6,42.1,49.225269
3,Bulgaria,194,0,0,0,40.1,40.8,40.4,49.567368,41.5,42.2,41.9,49.581841
3,Bulgaria,195,0,0,0,40.2,40.7,40.4,49.690975,41.4,42.1,41.8,49.580837
3,Bulgaria,196,0,0,0,40.2,40.7,40.4,49.690975,41,42.1,41.6,49.338146
3,Bulgaria,197,0,0,0,40.1,40.6,40.2,49.690212,41.2,42.4,41.9,49.282295
3,Bulgaria,198,0,0,0,39.9,40.6,40.1,49.565216,41.4,42.3,41.9,49.462364
3,Bulgaria,199,0,0,0,39.9,40.6,40.2,49.565216,41.4,42,41.7,49.640289
3,Bulgaria,200,0,0,0,40,40.4,40.2,49.751244,41.3,42,41.7,49.57983
3,Bulgaria,201,0,0,0,40.1,40.4,40.2,49.813663,41.8,42.3,42.1,49.702736
3,Bulgaria,202,0,0,0,40,40.6,40.2,49.627792,41.6,42.3,42,49.582836
3,Bulgaria,203,0,0,0,40,40.6,40.2,49.627792,41.2,41.8,41.5,49.638554
3,Bulgaria,204,0,0,0,40.1,40.4,40.1,49.813663,40.9,41.4,41.2,49.696232
3,Bulgaria,205,0,0,0,40,40.2,40,49.875313,40.9,41.8,41.4,49.455864
3,Bulgaria,206,0,0,0,39.8,40.3,39.9,49.687889,40.8,42.1,41.6,49.215923
3,Bulgaria,207,0,0,0,39.9,40.2,40,49.812733,40.7,41.5,41.2,49.513382
3,Bulgaria,208,0,0,0,40,40,40,50,40.6,41.4,41,49.512196
3,Bulgaria,209,0,0,0,40,40.1,40.1,49.937576,40.7,41.5,41.1,49.513382
3,Bulgaria,210,0,0,0,39.9,40.2,40,49.812733,40.6,41.5,41.1,49.451889
3,Bulgaria,211,0,0,0,39.8,40.1,39.9,49.812263,40.5,41.2,40.9,49.571602
3,Bulgaria,212,0,0,0,39.8,40.2,39.9,49.75,40.6,41.1,40.8,49.694004
3,Bulgaria,213,0,0,0,39.9,40.1,40,49.875,40.8,41.2,41,49.756096
3,Bulgaria,214,0,0,0,40,40.1,40,49.937576,40.4,41.5,41.1,49.328449
3,Bulgaria,215,0,0,0,39.9,40.1,40,49.875,40.5,41.4,41,49.45055
3,Bulgaria,216,0,0,0,40,40.2,40.1,49.875313,40.9,41.5,41.3,49.635921
3,Bulgaria,217,0,0,0,40,40.2,40,49.875313,41.1,42.2,41.8,49.339737
3,Bulgaria,218,0,0,0,39.9,40.1,39.9,49.875,41,41.9,41.5,49.457176
3,Bulgaria,219,0,0,0,40,40,40,50,40.9,41.7,41.4,49.515739
3,Bulgaria,220,0,0,0,40,40,40,50,41.1,42.1,41.7,49.39904
3,Bulgaria,221,0,0,0,39.9,40.3,40,49.750622,41.2,41.9,41.6,49.578819
3,Bulgaria,222,0,0,0,39.9,40.4,40.1,49.688667,41.1,41.7,41.4,49.63768
3,Bulgaria,223,0,0,0,40,40.4,40.1,49.751244,40.7,41.6,41.3,49.45322
3,Bulgaria,224,0,0,0,40,40.3,40.1,49.813202,40.6,41.5,41.2,49.451889
3,Bulgaria,225,0,0,0,40,40.3,40.1,49.813202,40.8,41.5,41.2,49.574726
3,Bulgaria,226,0,0,0,40,40.2,40.1,49.875313,40.9,41.7,41.4,49.515739
3,Bulgaria,227,0,0,0,40,40.3,40.1,49.813202,40.6,41.4,41.1,49.512196
3,Bulgaria,228,0,0,0,40,40.3,40.1,49.813202,40.6,41.1,40.9,49.694004
3,Bulgaria,229,0,0,0,39.9,40.2,40,49.812733,40.7,41.7,41.3,49.393204
3,Bulgaria,230,0,0,0,40,40.1,40,49.937576,40.8,41.8,41.4,49.394672
3,Bulgaria,231,0,0,0,39.9,40.2,40,49.812733,40.6,41.5,41.2,49.451889
3,Bulgaria,232,0,0,0,39.9,40.2,40,49.812733,40.7,41.2,41,49.694748
3,Bulgaria,233,0,0,0,39.9,40.1,40,49.875,40.7,41.3,41.1,49.634148
3,Bulgaria,234,0,0,0,39.9,40,40,49.93742,41,41.4,41.3,49.757282
3,Bulgaria,235,0,0,0,39.9,40,40,49.93742,40.7,41.4,41.2,49.573692
3,Bulgaria,236,0,0,0,39.9,40.1,39.9,49.875,40.8,41.4,41.1,49.635036
3,Bulgaria,237,0,0,0,39.9,40.1,40,49.875,40.8,41.1,41,49.816849
3,Bulgaria,238,0,0,0,39.9,40.1,40,49.875,40.6,41.2,41,49.633251
4,Croatia,172,0,0,0,40.6,41.1,40.8,49.694004,40.9,42.9,41.9,48.806683
4,Croatia,173,0,0,0,40.6,41.1,40.8,49.694004,40.9,42.9,41.9,48.806683
4,Croatia,174,0,0,0,40.5,41.3,40.9,49.511002,41,42.6,41.8,49.04306
4,Croatia,175,0,0,0,40.5,41.3,40.9,49.511002,41,42.6,41.8,49.04306
4,Croatia,176,0,0,0,40.5,41.6,41,49.330086,41,43.1,42,48.751488
4,Croatia,177,0,0,0,40.5,41.6,41,49.330086,41,43.1,42,48.751488
4,Croatia,178,0,0,0,40.5,40.9,40.7,49.754299,41.3,42.7,42,49.166668
4,Croatia,179,0,0,0,40.5,40.9,40.7,49.754299,41.3,42.7,42,49.166668
4,Croatia,180,0,0,0,40.4,41.5,40.8,49.328449,41.6,43.6,42.5,48.82629
4,Croatia,181,0,0,0,40.4,41.5,40.8,49.328449,41.6,43.6,42.5,48.82629
4,Croatia,182,0,0,0,40.7,41.5,41,49.513382,41.6,43.3,42.4,48.998821
4,Croatia,183,0,0,0,40.7,41.5,41,49.513382,41.6,43.3,42.4,48.998821
4,Croatia,184,0,0,0,40.4,40.9,40.6,49.692497,40.9,42.5,41.7,49.040768
4,Croatia,185,0,0,0,40.4,40.9,40.6,49.692497,40.9,42.5,41.7,49.040768
4,Croatia,186,0,0,0,40.2,41,40.5,49.507389,41.3,42.6,41.9,49.225269
4,Croatia,187,0,0,0,40.2,41,40.5,49.507389,41.3,42.6,41.9,49.225269
4,Croatia,188,0,0,0,40.5,42,41.2,49.090908,40.8,43.3,41.9,48.513676
4,Croatia,189,0,0,0,39.9,41.2,40.5,49.198521,41,42.3,41.6,49.219688
4,Croatia,190,0,0,0,40.3,41.2,40.7,49.447853,41.1,42.5,41.8,49.162678
4,Croatia,191,0,0,0,40.5,41.1,40.8,49.632355,40.6,43.6,42,48.218529
4,Croatia,192,0,0,0,40.4,41.4,40.8,49.388752,40.5,43.3,41.9,48.329357
4,Croatia,193,0,0,0,40.3,41.3,40.7,49.387257,40.6,42.9,41.7,48.622753
4,Croatia,194,0,0,0,40.8,41.1,41,49.816849,40.8,43.4,42,48.456059
4,Croatia,195,0,0,0,40.8,40.7,40.7,50.061348,40.7,44.3,42.6,47.882355
4,Croatia,196,0,0,0,40.1,41.3,40.6,49.262897,40.6,43.9,42.4,48.047337
4,Croatia,197,0,0,0,40.3,41.3,40.7,49.387257,40.6,42.7,41.7,48.739494
4,Croatia,198,0,0,0,41.2,41.2,41.2,50,40.8,43.3,42,48.513676
4,Croatia,199,0,0,0,40.9,41.1,41,49.878048,40.7,43,41.8,48.626045
4,Croatia,200,0,0,0,40.1,41.5,40.7,49.142159,40.8,42.4,41.6,49.03846
4,Croatia,201,0,0,0,40.3,41.2,40.7,49.447853,41.1,43.3,42.1,48.696682
4,Croatia,202,0,0,0,40.6,40.9,40.8,49.815952,40.9,43.1,42,48.690475
4,Croatia,203,0,0,0,40.5,41.1,40.7,49.632355,40.5,42.1,41.3,49.031479
4,Croatia,204,0,0,0,40.1,40.3,40.2,49.875622,40.7,41.5,41,49.513382
4,Croatia,205,0,0,0,40.4,40.2,40.3,50.124069,40.5,42.9,41.6,48.56115
4,Croatia,206,0,0,0,40.6,41,40.8,49.754902,40.4,43,41.6,48.441246
4,Croatia,207,0,0,0,40.2,41.1,40.6,49.446495,41.3,41.7,41.5,49.759037
4,Croatia,208,0,0,0,40.2,40.6,40.4,49.752476,40.7,42.4,41.5,48.977135
4,Croatia,209,0,0,0,40.3,40.9,40.6,49.630543,40.4,42.3,41.3,48.851269
4,Croatia,210,0,0,0,40.4,41,40.6,49.631451,40.5,41.6,41,49.330086
4,Croatia,211,0,0,0,40.3,41.1,40.6,49.508598,40.5,41.6,41,49.330086
4,Croatia,212,0,0,0,40.2,40.8,40.4,49.629631,40,42.3,41.1,48.602673
4,Croatia,213,0,0,0,40.1,40.9,40.4,49.506172,40.2,41.6,40.8,49.144253
4,Croatia,214,0,0,0,40.1,40.7,40.3,49.628712,40.3,40.9,40.6,49.630543
4,Croatia,215,0,0,0,40.2,40.8,40.4,49.629631,40.1,41.2,40.6,49.323494
4,Croatia,216,0,0,0,40.6,40.6,40.6,50,40.1,41.1,40.6,49.384235
4,Croatia,217,0,0,0,40.6,40.6,40.6,50,40.4,41.7,41,49.208282
4,Croatia,218,0,0,0,40.3,40.6,40.4,49.814587,40.8,42,41.3,49.275364
4,Croatia,219,0,0,0,40.2,40.4,40.3,49.875931,40.3,40.8,40.5,49.691738
4,Croatia,220,0,0,0,40,40.6,40.2,49.627792,39.9,40.7,40.3,49.503723
4,Croatia,221,0,0,0,40,40.7,40.3,49.566296,39.6,40.7,40.1,49.315067
4,Croatia,222,0,0,0,39.6,40.7,40,49.315067,39.4,41.2,40.3,48.883373
4,Croatia,223,0,0,0,39.4,40.7,39.9,49.188515,39,40.8,39.9,48.872181
4,Croatia,224,0,0,0,39.7,40.2,39.9,49.687107,39.1,41.3,40.3,48.63184
4,Croatia,225,0,0,0,39.6,40.4,39.9,49.5,39.9,41.5,40.7,49.0172
4,Croatia,226,0,0,0,39.4,40.4,39.8,49.373432,40,40.8,40.4,49.504951
4,Croatia,227,0,0,0,39.5,40.7,40,49.251869,39.3,40.6,39.9,49.186481
4,Croatia,228,0,0,0,39.7,40.2,39.9,49.687107,39.5,40.5,40,49.375
4,Croatia,229,0,0,0,39.8,40.6,40.1,49.502487,39.8,41.4,40.6,49.014778
4,Croatia,230,0,0,0,39.8,40.5,40,49.564133,39.9,40.8,40.3,49.442379
4,Croatia,231,0,0,0,39.7,40.4,40,49.563046,39.9,40.4,40.1,49.688667
4,Croatia,232,0,0,0,40.1,40.1,40.1,50,39.2,40.5,39.8,49.184441
4,Croatia,233,0,0,0,39.8,40.7,40.1,49.440994,39.9,40.4,40.1,49.688667
4,Croatia,234,0,0,0,39.8,40.8,40.2,49.379654,39.8,40.9,40.4,49.318462
4,Croatia,235,0,0,0,40,40.6,40.2,49.627792,39.5,40.7,40.1,49.251869
4,Croatia,236,0,0,0,40.2,39.8,40,50.25,39.7,41.3,40.6,49.012344
4,Croatia,237,0,0,0,40,40.3,40.1,49.813202,40,40.9,40.5,49.443756
4,Croatia,238,0,0,0,39.9,41.2,40.4,49.198521,39.8,41.5,40.7,48.954491
5,Czech Republic,172,0,0,0,41.2,45.6,43.4,47.465439,40.1,41.1,40.5,49.384235
5,Czech Republic,173,0,0,0,41.6,45.5,43.5,47.761192,39.9,41.8,40.7,48.837208
5,Czech Republic,174,0,0,0,41.6,45.2,43.4,47.926266,40.1,41.8,40.8,48.962151
5,Czech Republic,175,0,0,0,41.7,45.7,43.7,47.71167,40.2,41.9,40.9,48.964676
5,Czech Republic,176,0,0,0,41.7,45.6,43.6,47.766323,39.9,41.5,40.6,49.0172
5,Czech Republic,177,0,0,0,41.5,45.5,43.5,47.701149,39.8,41.5,40.5,48.954491
5,Czech Republic,178,0,0,0,41.3,45.4,43.3,47.635525,40,41.3,40.6,49.200493
5,Czech Republic,179,0,0,0,41.4,45.3,43.3,47.750866,39.9,41.3,40.6,49.137932
5,Czech Republic,180,0,0,0,41.4,44.9,43.1,47.972191,39.7,41.1,40.4,49.133663
5,Czech Republic,181,0,0,0,41.4,44.6,43,48.139534,39.9,41.4,40.6,49.077492
5,Czech Republic,182,0,0,0,41.5,44.9,43.2,48.032406,40,41.3,40.6,49.200493
5,Czech Republic,183,0,0,0,41.6,44.9,43.3,48.092487,39.9,41,40.4,49.320148
5,Czech Republic,184,0,0,0,41.7,45.2,43.5,47.986191,39.9,41.1,40.4,49.259258
5,Czech Republic,185,0,0,0,41.8,45.3,43.5,47.990814,39.9,40.9,40.3,49.381187
5,Czech Republic,186,0,0,0,41.8,45.5,43.7,47.880871,39.8,41.1,40.4,49.196541
5,Czech Republic,187,0,0,0,41.8,45.5,43.7,47.880871,40,41.3,40.6,49.200493
5,Czech Republic,188,0,0,0,41.9,45.5,43.7,47.940502,40,41,40.5,49.382717
5,Czech Republic,189,0,0,0,41.8,45.8,43.7,47.716896,40,41,40.5,49.382717
5,Czech Republic,190,0,0,0,41.8,45.4,43.6,47.93578,40,41,40.5,49.382717
5,Czech Republic,191,0,0,0,41.8,45.2,43.5,48.045979,39.9,41.3,40.6,49.137932
5,Czech Republic,192,0,0,0,41.9,45.2,43.6,48.105625,39.9,41.3,40.6,49.137932
